Category,Question Count,Average Value
sports,708,353.6082474226804
potpourri,630,312.0
animals,536,367.0
transportation,515,287.62886597938143
business & industry,467,316.16161616161617
history,443,293.6170212765957
television,439,390.5263157894737
science,434,463.82978723404256
word origins,425,587.2340425531914
u.s. cities,410,490.0
